"timestamp","page_group","geo_cc","geo_rg","geo_city","geo_org","geo_netspeed","user_agent_family","user_agent_major","user_agent_os","user_agent_osversion","user_agent_model","referrer","page_index","navigation_type","params_dom_sz","params_dom_ln","params_dom_script","params_dom_img","timers_t_done","timers_t_resp","timers_t_page","tcp_windows","nodes_1000","scripts_10","imgs_10","datetime","dt_year","dt_month","dt_week","dt_day","dt_hour","dt_6hour","dt_12hour","dt_minute","dt_5min","dt_15min","dt_20min","dt_30min"
1409608821614,"skuskuset","US","US:: MI","US:: MI:: Midland","Charter Communications","Cable/DSL","IE","IE:: 10","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",400183,2267,141,25,3526,929,2597,"16 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:21.614",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821708,"class","US","US:: FL","US:: FL:: Miami","Windstream Communications","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",710284,4729,105,46,6835,1834,5001,"32 TCP Windows","5K Nodes","120 Scripts","60 Images","2014-09-01T22:00:21.708",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821735,"yourcart","US","US:: TN","US:: TN:: Smyrna","AT&T Internet Services","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",400682,1779,116,10,3510,1030,2480,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:21.735",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821776,"searchresults","US","US:: WA","US:: WA:: Sumner","Washington School Information Processing Cooperati","Corporate","Chrome","Chrome:: 36","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",980140,11016,150,42,5753,2820,2933,"64 TCP Windows","12K Nodes","160 Scripts","60 Images","2014-09-01T22:00:21.776",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821824,"searchresults","US","US:: CA","US:: CA:: San Diego","Time Warner Cable","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",543470,3569,149,34,4196,1582,2614,"32 TCP Windows","4K Nodes","160 Scripts","40 Images","2014-09-01T22:00:21.824",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821911,"myologin","US","US:: ME","US:: ME:: Biddeford","GWI","Dialup","Firefox","Firefox:: 31","Ubuntu",NA,NA,"www.staples.com","3rd-10th Page","navigation",393815,1699,104,7,10398,1101,9297,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:21.911",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821920,"category","US","US:: NY","US:: NY:: Brooklyn","Clear Wireless","Cellular","Chrome","Chrome:: 21","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",432530,2132,119,35,8979,384,8595,"16 TCP Windows","3K Nodes","120 Scripts","40 Images","2014-09-01T22:00:21.92",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821934,"easycheckout","US","US:: WA","US:: WA:: Renton","Comcast Cable","Cable/DSL","IE","IE:: 7","Windows XP",NA,NA,NA,"3rd-10th Page","none",187877,619,105,10,5734,1185,4549,"8 TCP Windows","1K Nodes","120 Scripts","20 Images","2014-09-01T22:00:21.934",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821947,"yourcart","US","US:: TX","US:: TX:: San Antonio","John Hagee Ministries","Corporate","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",520939,2198,125,21,4660,735,3925,"32 TCP Windows","3K Nodes","140 Scripts","40 Images","2014-09-01T22:00:21.947",2014,9,36,1,22,18,12,0,0,0,0,0
1409608821981,"skuskuset","US","US:: CA","US:: CA:: El Monte","Time Warner Cable","Cable/DSL","IE","IE:: 8","Windows XP",NA,NA,"www.staples.com","11th+ Page","cookie",403615,2876,147,37,4016,516,3500,"16 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:21.981",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822004,"myologin","US","US:: IL","US:: IL:: Mount Prospect","Comcast Cable","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",388541,1681,104,7,2771,205,2566,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.004",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822017,"searchresults","US","US:: NY","US:: NY:: Staten Island","Verizon FiOS","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",512804,3141,149,34,4001,2300,1701,"32 TCP Windows","4K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.017",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822049,"kioskexpresscheckout","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,"www.staples.com","11th+ Page","cookie",352754,2197,114,6,6570,300,6270,"16 TCP Windows","3K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.049",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822063,"skuskuset","US","US:: MD","US:: MD:: Germantown","Verizon FiOS","Cable/DSL","Chrome","Chrome:: 36","Windows 7",NA,NA,"www.staples.com","2nd Page","navigation",466897,2246,147,26,4763,315,4448,"16 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.063",2014,9,36,1,22,18,12,0,0,0,0,0
